Test finished: February 19, 2025 at 5:13:30 PM
Coverage Begin: 0
CoverageEnd: 3
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
177, 256, 0, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
179, 256, 1013, 0, 0, 6, 9, 8, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
173, 256, 1861, 0, 0, 8, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 256, 2730, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 9, 13, 16, 0
175, 256, 3568, 0, 0, 7, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
178, 255, 4405, 0, 0, 7, 9, 9, 6, 0, 0, 0, 0, 0, 9, 12, 15, 0
178, 255, 5242, 0, 0, 6, 9, 9, 5, 0, 0, 0, 0, 0, 10, 12, 16, 0
175, 256, 6080, 0, 0, 7, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 255, 6917, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 9, 12, 15, 0
179, 255, 7754, 0, 0, 5, 9, 8, 5, 0, 0, 0, 0, 0, 9, 11, 15, 0
179, 256, 53989, 0, 0, 6, 10, 9, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
176, 257, 54880, 0, 0, 7, 10, 8, 6, 0, 0, 0, 0, 0, 9, 12, 17, 0
179, 254, 55893, 0, 0, 6, 10, 9, 6, 0, 0, 0, 0, 0, 10, 12, 15, 0
177, 256, 56741, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
176, 255, 57781, 0, 0, 7, 10, 8, 6, 0, 0, 0, 0, 0, 9, 14, 15, 0
179, 256, 58661, 0, 0, 6, 10, 9, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
177, 256, 59541, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
175, 256, 60549, 0, 0, 7, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 256, 61397, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 254, 62384, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 10, 13, 16, 0
177, 256, 63242, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 13, 16, 0
174, 256, 64272, 0, 0, 8, 9, 10, 5, 0, 0, 0, 0, 0, 9, 13, 16, 0
174, 255, 66448, 0, 0, 6, 10, 8, 4, 0, 0, 0, 0, 0, 9, 12, 15, 0
175, 256, 67285, 0, 0, 7, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
179, 256, 68117, 0, 0, 6, 9, 8, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
175, 256, 68954, 0, 0, 7, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 256, 69792, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 9, 13, 16, 0
179, 256, 70629, 0, 0, 5, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
175, 254, 71466, 0, 0, 7, 10, 9, 5, 0, 0, 0, 0, 0, 10, 13, 16, 0
178, 255, 112677, 0, 0, 6, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 15, 0
177, 256, 113530, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
179, 256, 114416, 0, 0, 6, 10, 8, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
176, 256, 115434, 0, 0, 7, 10, 8, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
178, 256, 116288, 0, 0, 6, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
175, 254, 117328, 0, 0, 7, 9, 8, 5, 0, 0, 0, 0, 0, 10, 13, 16, 0
179, 255, 118208, 0, 0, 6, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 15, 0
177, 257, 119088, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 11, 17, 0
179, 256, 120096, 0, 0, 5, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 256, 120944, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 256, 121813, 0, 0, 7, 10, 8, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
174, 256, 122725, 0, 0, 7, 10, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 257, 123754, 0, 0, 7, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 17, 0
174, 255, 126048, 0, 0, 6, 9, 8, 4, 0, 0, 0, 0, 0, 9, 11, 15, 0
172, 256, 126885, 0, 0, 7, 9, 8, 4, 0, 0, 0, 0, 0, 9, 12, 16, 0
176, 256, 127722, 0, 0, 7, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
179, 255, 128560, 0, 0, 6, 10, 8, 6, 0, 0, 0, 0, 0, 9, 13, 15, 0
176, 256, 129392, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
174, 255, 130229, 0, 0, 7, 10, 8, 5, 0, 0, 0, 0, 0, 9, 12, 15, 0
173, 255, 131072, 0, 0, 6, 9, 7, 4, 0, 0, 0, 0, 0, 9, 12, 15, 0
177, 254, 172256, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 10, 12, 15, 0
178, 255, 173098, 0, 0, 7, 10, 10, 6, 0, 0, 0, 0, 0, 9, 12, 15, 0
179, 256, 174176, 0, 0, 6, 10, 8, 6, 0, 0, 0, 0, 0, 9, 13, 16, 0
179, 256, 175061, 0, 0, 6, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 256, 175941, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 255, 176954, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 10, 12, 16, 0
177, 255, 177797, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 13, 15, 0
177, 256, 178666, 0, 0, 6, 9, 8, 5, 0, 0, 0, 0, 0, 9, 13, 16, 0
177, 255, 179674, 0, 0, 7, 9, 8, 6, 0, 0, 0, 0, 0, 9, 13, 15, 0
175, 256, 180533, 0, 0, 8, 10, 9, 6, 0, 0, 0, 0, 0, 9, 12, 16, 0
178, 255, 181477, 0, 0, 7, 9, 9, 6, 0, 0, 0, 0, 0, 9, 13, 15, 0
179, 255, 182336, 0, 0, 7, 10, 9, 7, 0, 0, 0, 0, 0, 10, 12, 16, 0
175, 254, 183354, 0, 0, 8, 10, 9, 6, 0, 0, 0, 0, 0, 10, 12, 15, 0
174, 255, 185530, 0, 0, 6, 9, 8, 4, 0, 0, 0, 0, 0, 9, 12, 15, 0
175, 256, 186368, 0, 0, 7, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
175, 256, 187200, 0, 0, 7, 8, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 256, 188042, 0, 0, 6, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 256, 188874, 0, 0, 6, 10, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
177, 254, 189712, 0, 0, 7, 9, 8, 6, 0, 0, 0, 0, 0, 10, 11, 15, 0
178, 255, 190549, 0, 0, 6, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 15, 0
179, 256, 231754, 0, 0, 6, 10, 8, 6, 0, 3, 0, 0, 0, 9, 12, 16, 0
176, 254, 232613, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 9, 12, 14, 0
178, 256, 233504, 0, 0, 6, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
175, 255, 234522, 0, 0, 7, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 15, 0
176, 255, 235376, 0, 0, 6, 10, 8, 5, 0, 0, 0, 0, 0, 10, 12, 16, 0
179, 256, 236410, 0, 0, 5, 9, 8, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
173, 256, 237290, 0, 0, 8, 9, 9, 5, 0, 0, 0, 0, 0, 9, 12, 16, 0
178, 256, 238170, 0, 0, 7, 9, 9, 6, 0, 0, 0, 0, 0, 10, 12, 17, 0
