Test finished: February 19, 2025 at 11:15:37 AM
Coverage Begin: 3
CoverageEnd: 4
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
147, 181, 0, 0, 9, 63, 52, 42, 0, 0, 0, 46, 52, 47, 43, 37, 37, 15
146, 181, 864, 0, 9, 63, 51, 40, 0, 0, 0, 45, 52, 48, 43, 37, 37, 15
147, 181, 1701, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 42, 38, 37, 15
146, 181, 2528, 0, 9, 64, 52, 41, 0, 0, 0, 45, 53, 48, 42, 38, 36, 15
147, 181, 3354, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 42, 37, 37, 14
146, 181, 4186, 0, 10, 64, 52, 41, 0, 0, 0, 46, 52, 48, 42, 38, 38, 15
146, 181, 5013, 0, 9, 64, 51, 41, 0, 0, 0, 45, 52, 47, 43, 37, 37, 14
147, 181, 5845, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 43, 38, 36, 14
147, 181, 6677, 0, 9, 63, 52, 42, 0, 0, 0, 45, 52, 48, 43, 37, 37, 15
146, 181, 51776, 0, 9, 64, 52, 40, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
146, 181, 52666, 0, 10, 63, 52, 40, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
146, 180, 53557, 0, 10, 63, 52, 42, 0, 0, 0, 46, 52, 48, 43, 38, 36, 14
147, 181, 54549, 0, 9, 63, 52, 42, 0, 0, 0, 46, 51, 47, 43, 37, 38, 14
147, 182, 55397, 0, 8, 63, 51, 42, 0, 0, 0, 44, 52, 47, 42, 38, 37, 15
147, 181, 56266, 0, 9, 63, 52, 41, 0, 0, 0, 44, 53, 47, 42, 37, 37, 14
147, 181, 57269, 0, 9, 63, 52, 41, 0, 0, 0, 45, 52, 46, 42, 38, 37, 14
147, 182, 58122, 0, 8, 65, 52, 41, 0, 0, 0, 45, 51, 47, 43, 38, 37, 15
146, 181, 58997, 0, 9, 64, 52, 41, 0, 0, 0, 45, 52, 47, 43, 38, 36, 14
146, 181, 59904, 0, 9, 64, 51, 41, 0, 0, 0, 45, 52, 47, 42, 38, 36, 15
147, 181, 60768, 0, 8, 65, 50, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 14
146, 181, 61621, 0, 9, 65, 51, 42, 0, 0, 0, 45, 52, 48, 43, 38, 37, 15
147, 181, 62448, 0, 9, 64, 51, 42, 0, 0, 0, 45, 52, 47, 43, 38, 36, 15
147, 181, 63274, 0, 10, 63, 53, 42, 0, 0, 0, 45, 53, 47, 43, 38, 37, 14
147, 181, 64106, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 42, 37, 37, 15
147, 181, 64933, 0, 9, 64, 52, 42, 0, 0, 0, 46, 53, 47, 43, 38, 37, 15
147, 181, 65765, 0, 9, 64, 52, 42, 0, 0, 0, 46, 52, 47, 43, 37, 37, 15
147, 181, 66592, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 43, 37, 37, 15
147, 181, 111808, 0, 9, 63, 52, 41, 0, 0, 0, 45, 51, 47, 43, 38, 37, 13
147, 181, 112656, 0, 8, 64, 52, 41, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
147, 181, 113536, 0, 9, 63, 52, 41, 0, 0, 0, 46, 52, 47, 43, 38, 36, 15
146, 182, 114549, 0, 9, 64, 50, 41, 0, 0, 0, 44, 51, 48, 42, 38, 38, 14
146, 181, 115392, 0, 10, 64, 51, 42, 0, 0, 0, 46, 52, 47, 43, 37, 38, 15
146, 181, 116458, 0, 10, 63, 52, 41, 0, 0, 0, 46, 53, 47, 43, 38, 38, 14
146, 180, 117312, 0, 9, 64, 51, 40, 0, 0, 0, 46, 52, 47, 44, 37, 38, 14
147, 181, 118176, 0, 9, 64, 51, 42, 0, 0, 0, 45, 53, 47, 42, 38, 37, 14
147, 182, 119082, 0, 9, 64, 51, 42, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 181, 119904, 0, 9, 63, 52, 41, 0, 0, 0, 45, 51, 48, 43, 37, 38, 14
147, 181, 120944, 0, 9, 64, 51, 42, 0, 0, 0, 45, 53, 47, 42, 38, 37, 15
147, 181, 123194, 0, 10, 63, 53, 43, 0, 0, 0, 46, 53, 48, 43, 38, 37, 15
147, 181, 124026, 0, 9, 64, 51, 42, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
146, 181, 124853, 0, 9, 64, 52, 41, 0, 0, 0, 45, 53, 48, 42, 38, 37, 14
147, 181, 125685, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 43, 37, 37, 14
147, 182, 126512, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 42, 38, 38, 15
147, 182, 127344, 0, 9, 64, 51, 42, 0, 0, 0, 44, 52, 48, 43, 38, 38, 15
147, 181, 128176, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 37, 37, 15
146, 181, 170858, 0, 9, 64, 52, 41, 0, 0, 0, 45, 53, 48, 42, 37, 37, 15
146, 182, 171744, 0, 9, 64, 51, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 181, 172629, 0, 9, 63, 52, 41, 0, 0, 0, 45, 52, 48, 43, 38, 37, 15
147, 181, 173642, 0, 9, 63, 52, 41, 0, 0, 0, 45, 52, 47, 43, 38, 36, 15
147, 181, 174490, 0, 8, 64, 52, 41, 0, 0, 0, 45, 51, 47, 42, 38, 37, 14
147, 181, 175349, 0, 9, 63, 52, 41, 0, 0, 0, 46, 53, 48, 43, 37, 38, 15
147, 181, 176362, 0, 9, 64, 51, 42, 0, 0, 0, 45, 53, 47, 42, 38, 38, 14
146, 182, 177200, 0, 9, 63, 52, 40, 0, 0, 0, 45, 51, 48, 43, 38, 37, 15
146, 181, 178261, 0, 9, 64, 52, 41, 0, 0, 0, 45, 51, 48, 42, 37, 38, 14
146, 181, 179114, 0, 10, 63, 52, 40, 0, 0, 0, 45, 52, 48, 43, 38, 37, 14
147, 181, 179941, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 38, 37, 14
146, 178, 180752, 0, 10, 63, 52, 41, 0, 0, 0, 45, 53, 48, 43, 33, 38, 14
147, 181, 181578, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 42, 38, 38, 14
146, 180, 182410, 0, 9, 64, 53, 41, 0, 0, 0, 45, 52, 48, 42, 37, 37, 13
146, 182, 183242, 0, 9, 65, 52, 41, 0, 0, 0, 45, 52, 47, 43, 38, 38, 15
147, 181, 231488, 0, 8, 64, 52, 41, 0, 0, 0, 44, 52, 48, 42, 38, 37, 13
147, 181, 232346, 0, 9, 63, 52, 41, 0, 0, 0, 45, 53, 47, 42, 38, 37, 14
147, 181, 233413, 0, 8, 64, 52, 42, 0, 0, 0, 45, 52, 48, 42, 37, 38, 15
147, 182, 234304, 0, 8, 63, 51, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
146, 181, 235168, 0, 10, 64, 51, 41, 0, 0, 0, 45, 52, 48, 42, 38, 37, 14
147, 181, 236160, 0, 8, 63, 52, 42, 0, 0, 0, 45, 52, 47, 43, 37, 38, 15
146, 182, 237034, 0, 9, 64, 51, 41, 0, 0, 0, 44, 52, 47, 42, 38, 37, 15
147, 181, 237909, 0, 9, 64, 51, 42, 0, 0, 0, 46, 52, 48, 43, 38, 37, 15
146, 182, 238912, 0, 9, 63, 52, 40, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 182, 239760, 0, 9, 63, 52, 42, 0, 0, 0, 45, 51, 48, 42, 38, 37, 15
147, 181, 240640, 0, 9, 63, 51, 42, 0, 0, 0, 46, 53, 48, 43, 37, 37, 15
146, 181, 241546, 0, 9, 64, 52, 41, 0, 0, 0, 45, 53, 47, 43, 38, 37, 14
146, 181, 242421, 0, 9, 64, 51, 40, 0, 0, 0, 45, 53, 47, 42, 38, 37, 14
147, 181, 243264, 0, 8, 63, 52, 41, 0, 0, 0, 45, 53, 48, 44, 38, 37, 15
147, 181, 244090, 0, 9, 64, 51, 42, 0, 0, 0, 45, 53, 47, 43, 38, 37, 14
147, 181, 244917, 0, 8, 64, 52, 41, 0, 0, 0, 45, 52, 48, 42, 38, 37, 15
147, 181, 245749, 0, 8, 64, 51, 41, 0, 0, 0, 45, 52, 47, 42, 37, 37, 15
147, 181, 246576, 0, 8, 64, 52, 42, 0, 0, 0, 46, 52, 48, 42, 38, 38, 15
147, 180, 247408, 0, 9, 64, 52, 42, 0, 0, 0, 46, 52, 47, 43, 37, 37, 14
146, 182, 248234, 0, 9, 64, 52, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
146, 182, 290666, 0, 10, 64, 52, 42, 0, 0, 0, 44, 52, 48, 43, 38, 37, 15
147, 182, 291514, 0, 8, 64, 51, 41, 0, 0, 0, 44, 52, 47, 42, 38, 37, 15
146, 182, 292384, 0, 9, 64, 51, 41, 0, 0, 0, 45, 53, 47, 43, 38, 38, 15
147, 180, 293397, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 47, 42, 38, 37, 13
147, 181, 294245, 0, 9, 63, 52, 41, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
146, 181, 295120, 0, 9, 65, 51, 42, 0, 0, 0, 46, 52, 48, 43, 38, 38, 14
147, 181, 296117, 0, 9, 63, 51, 41, 0, 0, 0, 45, 51, 48, 43, 37, 38, 14
147, 182, 296954, 0, 9, 63, 52, 41, 0, 0, 0, 45, 52, 47, 42, 38, 38, 15
147, 181, 298037, 0, 9, 64, 51, 42, 0, 0, 0, 45, 52, 47, 43, 38, 37, 14
146, 182, 298928, 0, 10, 64, 51, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
146, 181, 299808, 0, 9, 64, 52, 41, 0, 0, 0, 45, 52, 47, 42, 38, 37, 14
146, 182, 300714, 0, 9, 64, 51, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 16
146, 181, 301578, 0, 9, 64, 52, 40, 0, 0, 0, 45, 51, 48, 43, 38, 37, 14
146, 182, 302400, 0, 10, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 38, 39, 15
146, 182, 303221, 0, 9, 64, 52, 41, 0, 0, 0, 45, 52, 48, 43, 39, 37, 15
147, 181, 304048, 0, 9, 64, 52, 42, 0, 0, 0, 46, 53, 48, 43, 38, 37, 15
147, 181, 304880, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 37, 37, 14
146, 182, 305706, 0, 10, 64, 53, 42, 0, 0, 0, 45, 52, 47, 44, 38, 37, 15
147, 181, 306538, 0, 9, 64, 52, 42, 0, 0, 0, 45, 53, 48, 42, 38, 37, 15
147, 181, 307370, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 38, 37, 14
146, 182, 350709, 0, 10, 64, 52, 41, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 181, 351573, 0, 9, 63, 52, 42, 0, 0, 0, 45, 53, 48, 43, 38, 37, 14
147, 182, 352581, 0, 9, 63, 52, 42, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 181, 353434, 0, 9, 64, 51, 42, 0, 0, 0, 45, 53, 48, 43, 38, 36, 15
147, 181, 354304, 0, 9, 64, 51, 42, 0, 0, 0, 46, 53, 48, 42, 38, 39, 14
147, 181, 355312, 0, 9, 63, 51, 41, 0, 0, 0, 45, 52, 48, 43, 38, 37, 15
146, 181, 356149, 0, 9, 64, 52, 41, 0, 0, 0, 45, 53, 47, 43, 38, 37, 15
147, 181, 357024, 0, 8, 64, 52, 42, 0, 0, 0, 45, 53, 47, 43, 38, 37, 14
146, 182, 358032, 0, 9, 64, 51, 41, 0, 0, 0, 45, 52, 48, 42, 38, 38, 15
147, 181, 358869, 0, 9, 63, 52, 42, 0, 0, 0, 45, 52, 48, 43, 38, 38, 14
147, 181, 359733, 0, 9, 64, 52, 42, 0, 0, 0, 45, 52, 48, 43, 38, 36, 15
146, 180, 360640, 0, 10, 63, 52, 42, 0, 0, 0, 46, 52, 48, 42, 38, 37, 14
146, 182, 361504, 0, 10, 63, 52, 41, 0, 0, 0, 44, 52, 48, 42, 38, 38, 15
146, 181, 362341, 0, 9, 65, 51, 41, 0, 0, 0, 46, 52, 48, 43, 39, 37, 15
147, 182, 363168, 0, 9, 65, 52, 42, 0, 0, 0, 45, 53, 47, 43, 39, 37, 15
147, 181, 364000, 0, 9, 65, 52, 42, 0, 0, 0, 45, 52, 48, 42, 38, 37, 14
147, 181, 364826, 0, 10, 63, 52, 43, 0, 0, 0, 45, 52, 47, 43, 37, 37, 14
147, 181, 365658, 0, 9, 63, 52, 42, 0, 0, 0, 46, 52, 48, 43, 39, 38, 14
146, 182, 366485, 0, 10, 64, 53, 42, 0, 0, 0, 45, 52, 47, 43, 38, 37, 15
147, 181, 367317, 0, 8, 63, 52, 42, 0, 0, 0, 45, 52, 47, 43, 37, 37, 14
