Test finished: February 19, 2025 at 11:04:05 AM
Coverage Begin: 0
CoverageEnd: 2
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
155, 279, 0, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
154, 281, 1072, 0, 0, 16, 19, 12, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
158, 280, 3131, 0, 0, 15, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 280, 3973, 0, 0, 17, 20, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
156, 281, 4811, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 9
154, 280, 5648, 0, 0, 16, 20, 12, 0, 0, 0, 0, 0, 0, 0, 25, 30, 8
155, 280, 6485, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 29, 8
154, 281, 7323, 0, 0, 17, 18, 13, 0, 0, 0, 0, 0, 0, 0, 26, 29, 9
156, 280, 8160, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 29, 8
154, 280, 40288, 0, 0, 17, 19, 13, 0, 0, 0, 0, 0, 0, 0, 26, 30, 8
155, 281, 41136, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
155, 280, 42000, 0, 0, 16, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
156, 281, 43024, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
154, 281, 43872, 0, 0, 17, 19, 13, 0, 0, 0, 0, 0, 0, 0, 26, 30, 9
154, 280, 44912, 0, 0, 17, 18, 13, 0, 0, 0, 0, 0, 0, 0, 26, 29, 8
155, 281, 45803, 0, 0, 16, 18, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
156, 280, 46661, 0, 0, 17, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 279, 47499, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
156, 280, 48336, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 29, 8
156, 280, 49173, 0, 0, 16, 18, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
154, 281, 50011, 0, 0, 18, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
156, 280, 50848, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 280, 100507, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
154, 280, 101525, 0, 0, 17, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
155, 281, 102384, 0, 0, 16, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
154, 279, 103435, 0, 0, 17, 19, 13, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
155, 280, 104320, 0, 0, 16, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
157, 281, 105200, 0, 0, 16, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 28, 9
156, 280, 106213, 0, 0, 16, 18, 14, 0, 0, 0, 0, 0, 0, 0, 26, 30, 8
155, 281, 107077, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
156, 281, 107947, 0, 0, 15, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
155, 280, 108864, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 280, 109968, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
157, 280, 112213, 0, 0, 16, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 30, 8
156, 281, 113056, 0, 0, 16, 20, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 9
157, 279, 113888, 0, 0, 15, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 7
155, 280, 114725, 0, 0, 16, 20, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
156, 281, 115563, 0, 0, 16, 18, 14, 0, 0, 0, 0, 0, 0, 0, 25, 28, 9
156, 281, 116400, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 29, 9
156, 280, 117237, 0, 0, 17, 19, 15, 0, 0, 0, 0, 0, 0, 0, 26, 28, 9
155, 280, 159333, 0, 0, 16, 18, 13, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
155, 280, 160192, 0, 0, 16, 20, 13, 0, 0, 0, 0, 0, 0, 0, 25, 28, 8
156, 280, 161275, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
156, 279, 162165, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
156, 281, 163045, 0, 0, 17, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 30, 9
156, 280, 164064, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
156, 279, 164912, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
155, 280, 165787, 0, 0, 16, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 280, 166800, 0, 0, 16, 19, 13, 0, 0, 0, 0, 0, 0, 0, 26, 30, 8
156, 281, 167653, 0, 0, 17, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
155, 279, 168629, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 8
155, 280, 169472, 0, 0, 17, 19, 14, 0, 0, 0, 0, 0, 0, 0, 26, 28, 9
157, 280, 170565, 0, 0, 16, 19, 15, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
156, 281, 172752, 0, 0, 16, 19, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 9
155, 280, 173595, 0, 0, 17, 20, 14, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
154, 280, 174427, 0, 0, 17, 19, 13, 0, 0, 0, 0, 0, 0, 0, 25, 29, 8
155, 280, 175269, 0, 0, 16, 20, 13, 0, 0, 0, 0, 0, 0, 0, 26, 29, 8
157, 280, 176101, 0, 0, 16, 19, 15, 0, 0, 0, 0, 0, 0, 0, 26, 28, 9
