Test finished: February 20, 2025 at 7:49:14 PM
Coverage Begin: 2
CoverageEnd: 4
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
132, 162, 0, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 9, 7, 3, 0, 0
132, 162, 864, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
135, 152, 1722, 0, 0, 6, 6, 0, 0, 0, 0, 0, 9, 10, 6, 0, 0, 0
133, 164, 2554, 0, 0, 7, 6, 0, 0, 0, 0, 0, 9, 9, 7, 3, 0, 0
130, 161, 3392, 0, 0, 8, 5, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
134, 165, 4229, 0, 0, 8, 7, 0, 0, 0, 0, 0, 9, 10, 6, 4, 0, 0
133, 162, 5066, 0, 0, 7, 6, 0, 0, 0, 0, 0, 9, 10, 6, 3, 0, 0
132, 162, 5904, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
131, 164, 6746, 0, 0, 7, 5, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
131, 165, 48848, 0, 0, 7, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
132, 165, 49690, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
133, 165, 50773, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
133, 161, 51648, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 11, 6, 3, 0, 0
133, 165, 52538, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 9, 7, 4, 0, 0
134, 164, 53552, 0, 0, 8, 7, 0, 0, 0, 0, 0, 10, 10, 6, 4, 0, 0
131, 162, 54394, 0, 0, 9, 6, 0, 0, 0, 0, 0, 9, 10, 6, 3, 0, 0
131, 165, 55472, 0, 0, 7, 5, 0, 0, 0, 0, 0, 9, 11, 6, 4, 0, 0
132, 162, 56346, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 11, 6, 3, 0, 0
132, 164, 57237, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 6, 4, 0, 0
132, 162, 58149, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
133, 165, 59034, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
132, 164, 59877, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
134, 162, 60709, 0, 0, 8, 7, 0, 0, 0, 0, 0, 9, 10, 6, 3, 0, 0
135, 167, 61546, 0, 0, 7, 7, 0, 0, 0, 0, 0, 9, 10, 7, 4, 0, 0
132, 164, 62384, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 9, 7, 3, 0, 0
133, 165, 63221, 0, 0, 7, 6, 0, 0, 0, 0, 0, 9, 10, 6, 4, 0, 0
132, 161, 64058, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
131, 165, 64896, 0, 0, 7, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
133, 161, 108714, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
131, 165, 109728, 0, 0, 7, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
135, 165, 110565, 0, 0, 7, 7, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
132, 167, 111653, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 10, 7, 4, 0, 0
132, 165, 112533, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 11, 7, 4, 0, 0
130, 165, 113413, 0, 0, 8, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
132, 165, 114421, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 11, 7, 4, 0, 0
133, 165, 115274, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 9, 7, 4, 0, 0
132, 165, 116144, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 11, 7, 4, 0, 0
132, 162, 117056, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 9, 7, 3, 0, 0
135, 167, 117925, 0, 0, 7, 7, 0, 0, 0, 0, 0, 9, 10, 7, 4, 0, 0
133, 152, 118789, 0, 0, 7, 6, 0, 0, 0, 0, 0, 9, 10, 6, 0, 0, 0
135, 163, 119626, 0, 0, 6, 6, 0, 0, 0, 0, 0, 9, 9, 6, 3, 0, 0
133, 161, 120458, 0, 0, 6, 5, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
133, 162, 121301, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
135, 164, 122133, 0, 0, 6, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
133, 162, 122970, 0, 0, 6, 5, 0, 0, 0, 0, 0, 9, 10, 6, 3, 0, 0
135, 164, 123813, 0, 0, 6, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
133, 162, 168629, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
132, 162, 169466, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
135, 164, 170298, 0, 0, 6, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
130, 162, 171141, 0, 0, 8, 5, 0, 0, 0, 0, 0, 10, 9, 7, 3, 0, 0
133, 164, 228261, 0, 0, 7, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
132, 165, 229146, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 10, 6, 4, 0, 0
132, 160, 230160, 0, 0, 8, 6, 0, 0, 0, 0, 0, 11, 10, 7, 3, 0, 0
135, 164, 231018, 0, 0, 6, 6, 0, 0, 0, 0, 0, 10, 10, 6, 4, 0, 0
133, 165, 232058, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
133, 162, 232933, 0, 0, 7, 6, 0, 0, 0, 0, 0, 11, 10, 6, 4, 0, 0
132, 164, 233813, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
134, 167, 234821, 0, 0, 8, 7, 0, 0, 0, 0, 0, 9, 10, 7, 4, 0, 0
133, 162, 235674, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
132, 164, 236544, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 6, 4, 0, 0
132, 160, 237456, 0, 0, 8, 6, 0, 0, 0, 0, 0, 11, 10, 7, 3, 0, 0
134, 162, 238314, 0, 0, 8, 7, 0, 0, 0, 0, 0, 10, 9, 7, 3, 0, 0
132, 152, 239184, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 9, 6, 0, 0, 0
132, 162, 240016, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 9, 7, 3, 0, 0
137, 162, 240853, 0, 0, 6, 7, 0, 0, 0, 0, 0, 9, 10, 6, 3, 0, 0
135, 164, 241690, 0, 0, 6, 6, 0, 0, 0, 0, 0, 10, 10, 6, 4, 0, 0
132, 161, 242528, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
133, 162, 243365, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 11, 7, 3, 0, 0
131, 165, 244208, 0, 0, 7, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
132, 164, 287125, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 10, 7, 3, 0, 0
132, 162, 288010, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
132, 166, 289029, 0, 0, 8, 6, 0, 0, 0, 0, 0, 9, 11, 7, 4, 0, 0
133, 162, 289877, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
132, 162, 290917, 0, 0, 8, 6, 0, 0, 0, 0, 0, 11, 11, 6, 4, 0, 0
132, 161, 291797, 0, 0, 8, 6, 0, 0, 0, 0, 0, 10, 10, 6, 3, 0, 0
130, 165, 292677, 0, 0, 8, 5, 0, 0, 0, 0, 0, 10, 10, 7, 4, 0, 0
133, 162, 293690, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 10, 7, 3, 0, 0
133, 162, 294538, 0, 0, 7, 6, 0, 0, 0, 0, 0, 10, 11, 7, 3, 0, 0
