Test finished: February 20, 2025 at 7:37:06 PM
Coverage Begin: 0
CoverageEnd: 3
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
137, 175, 0, 0, 0, 6, 7, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0
138, 175, 811, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0
143, 176, 1813, 0, 0, 4, 8, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
140, 178, 2672, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 7, 6, 0, 0, 0
138, 175, 3472, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0
138, 178, 4304, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 7, 6, 0, 0, 0
138, 176, 5179, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
138, 176, 6016, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
138, 176, 6816, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
139, 176, 7611, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
139, 176, 8411, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
140, 178, 9216, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 7, 6, 0, 0, 0
139, 176, 10011, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
139, 176, 10816, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
141, 176, 11616, 0, 0, 4, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
137, 177, 114853, 0, 0, 6, 7, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 0
138, 175, 115696, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0
140, 177, 116512, 0, 0, 5, 8, 0, 0, 0, 0, 0, 0, 8, 6, 0, 0, 0
139, 176, 117520, 0, 0, 5, 7, 0, 0, 0, 0, 0, 0, 7, 5, 0, 0, 0
138, 175, 118379, 0, 0, 6, 8, 0, 0, 0, 0, 0, 0, 8, 5, 0, 0, 0
140, 178, 119232, 0, 0, 6, 9, 0, 0, 0, 0, 0, 0, 7, 6, 0, 0, 0
