Test finished: February 20, 2025 at 8:02:49 PM
Coverage Begin: 0
CoverageEnd: 3
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
134, 178, 0, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 0
136, 181, 800, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0
137, 181, 1594, 0, 0, 11, 13, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0
136, 179, 2400, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 180, 3200, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0
135, 179, 51365, 0, 0, 10, 10, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 180, 52176, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
134, 181, 53002, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 12, 13, 0, 0, 0
135, 179, 53802, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
133, 179, 54602, 0, 0, 12, 10, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 182, 111717, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 12, 14, 0, 0, 0
134, 182, 112560, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 12, 14, 0, 0, 0
134, 179, 113370, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 179, 114384, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
133, 178, 115248, 0, 0, 12, 10, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 0
137, 182, 116053, 0, 0, 10, 12, 0, 0, 0, 0, 0, 0, 12, 14, 0, 0, 0
134, 179, 117098, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 181, 117957, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 12, 13, 0, 0, 0
135, 181, 118773, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0
136, 179, 119685, 0, 0, 10, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 179, 120501, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 179, 121333, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 179, 122149, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 182, 122949, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 12, 14, 0, 0, 0
134, 178, 123744, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 0
135, 180, 124544, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
135, 180, 125344, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
135, 179, 126144, 0, 0, 12, 12, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 181, 126944, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0
133, 179, 170224, 0, 0, 12, 10, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 182, 171072, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 12, 14, 0, 0, 0
134, 181, 171909, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 13, 14, 0, 0, 0
136, 179, 172896, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 180, 173760, 0, 0, 11, 10, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0
136, 179, 174570, 0, 0, 11, 12, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 180, 175578, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 12, 12, 0, 0, 0
133, 180, 176442, 0, 0, 12, 10, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
134, 178, 177253, 0, 0, 12, 11, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 0
135, 180, 178293, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
135, 179, 179152, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
135, 179, 179962, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 180, 180912, 0, 0, 11, 10, 0, 0, 0, 0, 0, 0, 13, 13, 0, 0, 0
135, 179, 181722, 0, 0, 11, 11, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 178, 182554, 0, 0, 11, 10, 0, 0, 0, 0, 0, 0, 14, 12, 0, 0, 0
133, 179, 183360, 0, 0, 12, 10, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
134, 179, 184154, 0, 0, 11, 10, 0, 0, 0, 0, 0, 0, 13, 12, 0, 0, 0
