Test finished: February 25, 2025 at 4:16:53 PM
Coverage Begin: 12
CoverageEnd: 12
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
164, 158, 0, 0, 0, 4, 10, 7, 0, 0, 0, 0, 9, 11, 9, 0, 0, 0
163, 158, 1115, 0, 0, 5, 11, 8, 0, 0, 0, 0, 9, 12, 9, 0, 0, 0
165, 159, 3286, 0, 0, 3, 10, 6, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
162, 158, 4123, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 8, 0, 0, 0
164, 159, 4960, 0, 0, 4, 10, 7, 0, 0, 0, 0, 7, 11, 8, 0, 0, 0
162, 159, 5798, 0, 0, 5, 9, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
162, 159, 6635, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 7472, 0, 0, 4, 11, 6, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
167, 159, 8310, 0, 0, 3, 9, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 34630, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
163, 159, 35483, 0, 0, 5, 10, 8, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
161, 161, 36566, 0, 0, 5, 11, 7, 0, 0, 0, 0, 7, 11, 9, 0, 0, 0
163, 159, 37446, 0, 0, 5, 11, 8, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
163, 159, 38326, 0, 0, 5, 10, 8, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
160, 159, 39334, 0, 0, 5, 11, 6, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 40182, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 41051, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
164, 159, 41963, 0, 0, 4, 11, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
164, 158, 42832, 0, 0, 4, 11, 7, 0, 0, 0, 0, 9, 12, 9, 0, 0, 0
162, 159, 43686, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
162, 159, 44523, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
167, 156, 45355, 0, 0, 3, 9, 7, 0, 0, 0, 0, 9, 12, 8, 0, 0, 0
164, 159, 46198, 0, 0, 4, 9, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
164, 156, 47030, 0, 0, 4, 10, 7, 0, 0, 0, 0, 9, 12, 8, 0, 0, 0
164, 159, 47867, 0, 0, 4, 11, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
166, 158, 48710, 0, 0, 4, 10, 8, 0, 0, 0, 0, 9, 11, 9, 0, 0, 0
161, 159, 122752, 0, 0, 6, 10, 8, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
169, 158, 123622, 0, 0, 3, 9, 8, 0, 0, 0, 0, 9, 11, 9, 0, 0, 0
168, 159, 124640, 0, 0, 3, 10, 8, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
161, 158, 125488, 0, 0, 5, 11, 7, 0, 0, 0, 0, 8, 11, 8, 0, 0, 0
162, 159, 126528, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
164, 161, 127408, 0, 0, 4, 11, 7, 0, 0, 0, 0, 7, 11, 9, 0, 0, 0
161, 159, 128288, 0, 0, 5, 11, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 129296, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 159, 130150, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
164, 159, 131008, 0, 0, 4, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
162, 158, 131995, 0, 0, 5, 10, 7, 0, 0, 0, 0, 9, 11, 9, 0, 0, 0
163, 159, 132838, 0, 0, 5, 11, 8, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
161, 158, 133702, 0, 0, 5, 11, 7, 0, 0, 0, 0, 9, 12, 9, 0, 0, 0
162, 161, 134614, 0, 0, 4, 10, 6, 0, 0, 0, 0, 8, 11, 10, 0, 0, 0
165, 159, 135739, 0, 0, 4, 11, 8, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
162, 158, 137851, 0, 0, 5, 9, 7, 0, 0, 0, 0, 8, 11, 8, 0, 0, 0
164, 159, 138688, 0, 0, 4, 9, 7, 0, 0, 0, 0, 7, 12, 8, 0, 0, 0
162, 159, 139520, 0, 0, 5, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
164, 159, 140363, 0, 0, 4, 9, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
164, 159, 141195, 0, 0, 4, 10, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
162, 158, 142032, 0, 0, 5, 9, 7, 0, 0, 0, 0, 8, 11, 8, 0, 0, 0
164, 159, 142875, 0, 0, 4, 11, 7, 0, 0, 0, 0, 8, 11, 9, 0, 0, 0
165, 161, 168480, 0, 0, 4, 11, 8, 0, 0, 0, 0, 8, 11, 10, 0, 0, 0
163, 159, 169371, 0, 0, 5, 11, 8, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
164, 159, 170246, 0, 0, 4, 10, 7, 0, 0, 0, 0, 8, 12, 9, 0, 0, 0
163, 158, 171259, 0, 0, 5, 11, 8, 0, 0, 0, 0, 9, 11, 9, 0, 0, 0
