Test finished: February 25, 2025 at 5:06:42 PM
Coverage Begin: 10
CoverageEnd: 11
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
140, 223, 0, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 13, 14, 13, 0
140, 223, 1056, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
140, 221, 3350, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 13, 13, 12, 0
138, 224, 4187, 0, 6, 13, 13, 8, 0, 0, 0, 0, 0, 14, 13, 13, 13, 0
140, 223, 5003, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 13, 14, 13, 0
142, 222, 5835, 0, 5, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
141, 223, 6651, 0, 6, 12, 13, 9, 0, 0, 0, 0, 0, 15, 13, 14, 13, 0
141, 224, 7483, 0, 6, 12, 14, 9, 0, 0, 0, 0, 0, 14, 13, 13, 13, 0
142, 223, 8320, 0, 6, 12, 13, 10, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
141, 221, 36064, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 16, 14, 13, 13, 0
141, 222, 36955, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
141, 222, 37947, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 15, 14, 13, 14, 0
141, 222, 38784, 0, 6, 14, 13, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
139, 223, 39648, 0, 6, 13, 14, 8, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
139, 222, 40640, 0, 7, 12, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 14, 0
140, 223, 41467, 0, 7, 13, 13, 10, 0, 0, 0, 0, 0, 15, 13, 13, 14, 0
139, 221, 42528, 0, 6, 14, 13, 9, 0, 0, 0, 0, 0, 16, 13, 14, 14, 0
140, 223, 43360, 0, 6, 13, 14, 9, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
142, 223, 44198, 0, 5, 13, 14, 9, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
144, 223, 45030, 0, 5, 12, 14, 10, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
140, 223, 45846, 0, 6, 13, 14, 9, 0, 0, 0, 0, 0, 15, 13, 14, 13, 0
141, 221, 46683, 0, 6, 12, 13, 9, 0, 0, 0, 0, 0, 16, 13, 13, 13, 0
141, 223, 47520, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
142, 221, 81174, 0, 6, 12, 13, 10, 0, 0, 0, 0, 0, 16, 14, 14, 13, 0
141, 222, 82043, 0, 6, 14, 14, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
139, 222, 82896, 0, 7, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 14, 0
141, 222, 83894, 0, 6, 12, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 14, 0
142, 223, 84742, 0, 6, 13, 14, 10, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
140, 223, 85627, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 16, 14, 14, 14, 0
142, 221, 86624, 0, 6, 13, 14, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
140, 223, 87467, 0, 7, 13, 14, 10, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
139, 221, 88518, 0, 6, 14, 13, 9, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
142, 223, 89414, 0, 6, 13, 14, 10, 0, 0, 0, 0, 0, 16, 14, 14, 14, 0
141, 229, 90278, 0, 6, 14, 14, 10, 0, 0, 0, 0, 0, 15, 13, 14, 14, 3
140, 224, 91184, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 14, 14, 14, 0
142, 222, 92038, 0, 6, 13, 14, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
142, 221, 92880, 0, 6, 12, 13, 10, 0, 0, 0, 0, 0, 16, 13, 13, 13, 0
142, 223, 93712, 0, 6, 12, 13, 10, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
141, 222, 94544, 0, 6, 12, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
143, 222, 95382, 0, 5, 12, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
141, 221, 96214, 0, 6, 12, 13, 9, 0, 0, 0, 0, 0, 15, 13, 13, 12, 0
140, 223, 97051, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 13, 13, 13, 0
143, 222, 97888, 0, 6, 12, 14, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
144, 223, 125510, 0, 5, 12, 13, 10, 0, 0, 0, 0, 0, 15, 13, 14, 14, 0
141, 221, 126523, 0, 6, 14, 13, 10, 0, 0, 0, 0, 0, 16, 14, 13, 13, 0
141, 222, 127371, 0, 6, 14, 13, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
140, 222, 128256, 0, 6, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
140, 223, 129248, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 13, 14, 13, 0
140, 222, 130086, 0, 6, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
141, 223, 131158, 0, 6, 14, 13, 10, 0, 0, 0, 0, 0, 16, 14, 14, 14, 0
142, 221, 132016, 0, 6, 13, 14, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
141, 221, 132864, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
142, 221, 133771, 0, 5, 13, 14, 9, 0, 0, 0, 0, 0, 16, 14, 14, 13, 0
141, 222, 134608, 0, 6, 14, 14, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
140, 221, 135638, 0, 7, 14, 14, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
143, 222, 137808, 0, 5, 12, 13, 9, 0, 0, 0, 0, 0, 14, 12, 13, 13, 0
139, 221, 138640, 0, 6, 13, 14, 8, 0, 0, 0, 0, 0, 16, 13, 13, 13, 0
143, 223, 139472, 0, 5, 12, 13, 9, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
142, 222, 140310, 0, 5, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
142, 221, 141126, 0, 5, 13, 13, 9, 0, 0, 0, 0, 0, 16, 13, 14, 13, 0
143, 224, 141958, 0, 5, 12, 14, 9, 0, 0, 0, 0, 0, 14, 13, 13, 13, 0
140, 222, 142795, 0, 6, 13, 13, 9, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
141, 223, 170470, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 15, 13, 14, 14, 0
140, 223, 171328, 0, 6, 14, 14, 9, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
141, 221, 172171, 0, 6, 14, 13, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
141, 221, 173184, 0, 6, 12, 13, 9, 0, 0, 0, 0, 0, 16, 14, 14, 13, 0
140, 222, 174043, 0, 7, 13, 13, 10, 0, 0, 0, 0, 0, 15, 14, 13, 13, 0
140, 223, 174912, 0, 6, 14, 14, 9, 0, 0, 0, 0, 0, 16, 14, 14, 14, 0
140, 222, 175899, 0, 6, 13, 14, 9, 0, 0, 0, 0, 0, 15, 14, 13, 14, 0
141, 221, 176720, 0, 6, 13, 13, 10, 0, 0, 0, 0, 0, 16, 14, 13, 14, 0
140, 223, 177595, 0, 7, 13, 14, 10, 0, 0, 0, 0, 0, 15, 14, 14, 13, 0
138, 221, 178502, 0, 7, 13, 13, 9, 0, 0, 0, 0, 0, 16, 14, 13, 13, 0
141, 221, 179552, 0, 6, 14, 14, 10, 0, 0, 0, 0, 0, 16, 14, 13, 13, 0
