Test finished: February 25, 2025 at 4:52:19 PM
Coverage Begin: 12
CoverageEnd: 13
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
147, 152, 0, 0, 4, 9, 13, 9, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
146, 152, 869, 0, 4, 10, 13, 9, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
146, 152, 1733, 0, 4, 10, 13, 9, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
147, 153, 2565, 0, 4, 9, 13, 9, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
146, 153, 3402, 0, 4, 10, 13, 9, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
148, 153, 4240, 0, 4, 8, 12, 9, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
146, 153, 5077, 0, 4, 10, 12, 9, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
145, 153, 5914, 0, 4, 9, 12, 8, 0, 0, 0, 0, 14, 16, 10, 0, 0, 0
147, 154, 6752, 0, 4, 9, 13, 9, 0, 0, 0, 0, 14, 15, 11, 0, 0, 0
147, 153, 34645, 0, 4, 10, 14, 9, 0, 0, 0, 0, 15, 17, 11, 0, 0, 0
148, 153, 35498, 0, 4, 10, 13, 10, 0, 0, 0, 0, 15, 16, 11, 0, 0, 0
144, 153, 36389, 0, 5, 10, 13, 9, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
146, 153, 37408, 0, 4, 10, 13, 9, 0, 0, 0, 0, 15, 15, 11, 0, 0, 0
147, 153, 38250, 0, 5, 9, 14, 10, 0, 0, 0, 0, 14, 16, 10, 0, 0, 0
144, 154, 39296, 0, 5, 10, 12, 9, 0, 0, 0, 0, 13, 16, 10, 0, 0, 0
148, 152, 40176, 0, 4, 10, 14, 10, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
145, 154, 41056, 0, 5, 9, 12, 9, 0, 0, 0, 0, 14, 17, 11, 0, 0, 0
146, 153, 42064, 0, 5, 10, 13, 10, 0, 0, 0, 0, 15, 16, 11, 0, 0, 0
145, 154, 42912, 0, 5, 9, 13, 9, 0, 0, 0, 0, 14, 15, 11, 0, 0, 0
148, 152, 43781, 0, 5, 8, 14, 10, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
146, 153, 44693, 0, 4, 10, 13, 9, 0, 0, 0, 0, 15, 16, 11, 0, 0, 0
144, 154, 45818, 0, 5, 10, 13, 9, 0, 0, 0, 0, 14, 15, 11, 0, 0, 0
146, 154, 47994, 0, 4, 10, 13, 9, 0, 0, 0, 0, 13, 15, 10, 0, 0, 0
147, 152, 48832, 0, 5, 9, 13, 10, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
146, 154, 49669, 0, 4, 10, 12, 9, 0, 0, 0, 0, 13, 16, 10, 0, 0, 0
146, 154, 50506, 0, 4, 10, 13, 9, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
146, 155, 51344, 0, 4, 10, 13, 9, 0, 0, 0, 0, 13, 15, 11, 0, 0, 0
146, 153, 52181, 0, 4, 10, 12, 9, 0, 0, 0, 0, 15, 16, 11, 0, 0, 0
148, 154, 53018, 0, 4, 10, 14, 10, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
147, 154, 79274, 0, 5, 9, 13, 10, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
146, 154, 80144, 0, 5, 10, 14, 10, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
146, 153, 81034, 0, 5, 10, 13, 10, 0, 0, 0, 0, 14, 15, 10, 0, 0, 0
146, 153, 82053, 0, 4, 10, 12, 9, 0, 0, 0, 0, 15, 16, 11, 0, 0, 0
146, 153, 82906, 0, 5, 10, 13, 10, 0, 0, 0, 0, 14, 16, 10, 0, 0, 0
146, 154, 83946, 0, 4, 10, 12, 9, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
146, 152, 84826, 0, 4, 10, 13, 9, 0, 0, 0, 0, 15, 16, 10, 0, 0, 0
144, 153, 85706, 0, 5, 10, 12, 9, 0, 0, 0, 0, 14, 16, 10, 0, 0, 0
146, 152, 86714, 0, 4, 9, 13, 8, 0, 0, 0, 0, 15, 17, 10, 0, 0, 0
144, 154, 87562, 0, 5, 10, 13, 9, 0, 0, 0, 0, 14, 16, 11, 0, 0, 0
