Test finished: February 25, 2025 at 5:03:09 PM
Coverage Begin: 0
CoverageEnd: 10
X, Y, T, Col0, Col1, Col2, Col3, Col4, Col5, Col6, Row0, Row1, Row2, Row3, Row4, Row5, Row6, Row7 
197, 95, 0, 0, 0, 0, 12, 10, 8, 0, 10, 15, 17, 13, 0, 0, 0, 0
195, 96, 880, 0, 0, 0, 13, 11, 8, 0, 10, 14, 17, 14, 0, 0, 0, 0
195, 95, 1765, 0, 0, 0, 12, 10, 7, 0, 10, 14, 16, 13, 0, 0, 0, 0
198, 98, 2672, 0, 0, 0, 12, 10, 9, 0, 9, 14, 17, 14, 0, 0, 0, 0
197, 96, 3546, 0, 0, 0, 13, 10, 9, 0, 10, 14, 16, 14, 0, 0, 0, 0
198, 98, 4384, 0, 0, 0, 12, 10, 9, 0, 9, 14, 17, 14, 0, 0, 0, 0
197, 96, 5221, 0, 0, 0, 12, 10, 8, 0, 9, 14, 16, 13, 0, 0, 0, 0
198, 96, 6053, 0, 0, 0, 12, 10, 9, 0, 10, 14, 16, 14, 0, 0, 0, 0
197, 98, 6890, 0, 0, 0, 12, 10, 8, 0, 9, 14, 17, 14, 0, 0, 0, 0
198, 96, 7728, 0, 0, 0, 12, 10, 9, 0, 9, 15, 17, 13, 0, 0, 0, 0
198, 98, 8565, 0, 0, 0, 12, 10, 9, 0, 9, 14, 17, 14, 0, 0, 0, 0
197, 97, 9402, 0, 0, 0, 13, 10, 9, 0, 9, 15, 16, 14, 0, 0, 0, 0
198, 95, 39712, 0, 0, 0, 12, 10, 9, 0, 10, 15, 17, 13, 0, 0, 0, 0
197, 98, 40725, 0, 0, 0, 12, 10, 8, 0, 9, 14, 17, 14, 0, 0, 0, 0
197, 95, 41573, 0, 0, 0, 12, 10, 8, 0, 10, 14, 16, 13, 0, 0, 0, 0
197, 96, 42618, 0, 0, 0, 13, 9, 9, 0, 10, 14, 16, 14, 0, 0, 0, 0
195, 97, 43498, 0, 0, 0, 13, 10, 8, 0, 9, 14, 16, 14, 0, 0, 0, 0
197, 96, 44378, 0, 0, 0, 12, 10, 8, 0, 10, 14, 17, 14, 0, 0, 0, 0
198, 97, 45386, 0, 0, 0, 12, 10, 9, 0, 10, 15, 17, 15, 0, 0, 0, 0
198, 94, 46234, 0, 0, 0, 12, 11, 9, 0, 11, 15, 17, 14, 0, 0, 0, 0
195, 96, 47098, 0, 0, 0, 13, 10, 8, 0, 10, 14, 16, 14, 0, 0, 0, 0
195, 95, 48010, 0, 0, 0, 13, 9, 8, 0, 10, 15, 17, 13, 0, 0, 0, 0
197, 96, 49050, 0, 0, 0, 13, 10, 9, 0, 10, 15, 17, 14, 0, 0, 0, 0
194, 99, 50794, 0, 0, 0, 12, 9, 7, 0, 8, 14, 16, 14, 0, 0, 0, 0
194, 96, 51637, 0, 0, 0, 12, 9, 7, 0, 10, 14, 17, 14, 0, 0, 0, 0
197, 97, 52469, 0, 0, 0, 12, 10, 8, 0, 9, 14, 15, 14, 0, 0, 0, 0
196, 96, 53306, 0, 0, 0, 12, 9, 8, 0, 9, 14, 17, 13, 0, 0, 0, 0
200, 96, 54144, 0, 0, 0, 11, 10, 9, 0, 9, 14, 16, 13, 0, 0, 0, 0
196, 98, 54981, 0, 0, 0, 11, 9, 7, 0, 9, 14, 17, 14, 0, 0, 0, 0
200, 96, 55818, 0, 0, 0, 11, 10, 9, 0, 9, 15, 16, 13, 0, 0, 0, 0
198, 96, 84629, 0, 0, 0, 12, 10, 9, 0, 10, 15, 17, 14, 0, 0, 0, 0
198, 95, 85482, 0, 0, 0, 11, 10, 8, 0, 10, 14, 17, 13, 0, 0, 0, 0
196, 97, 86560, 0, 0, 0, 12, 9, 8, 0, 9, 14, 16, 14, 0, 0, 0, 0
197, 96, 87440, 0, 0, 0, 12, 11, 8, 0, 10, 14, 16, 14, 0, 0, 0, 0
196, 94, 88320, 0, 0, 0, 12, 9, 8, 0, 10, 14, 15, 13, 0, 0, 0, 0
198, 96, 89328, 0, 0, 0, 12, 10, 9, 0, 10, 14, 17, 14, 0, 0, 0, 0
196, 96, 90176, 0, 0, 0, 12, 9, 8, 0, 10, 15, 17, 14, 0, 0, 0, 0
196, 96, 91045, 0, 0, 0, 12, 9, 8, 0, 10, 15, 17, 14, 0, 0, 0, 0
195, 94, 91957, 0, 0, 0, 13, 9, 8, 0, 10, 15, 16, 13, 0, 0, 0, 0
197, 95, 92986, 0, 0, 0, 13, 10, 9, 0, 10, 15, 16, 14, 0, 0, 0, 0
194, 98, 94800, 0, 0, 0, 12, 9, 7, 0, 8, 14, 16, 13, 0, 0, 0, 0
195, 98, 95637, 0, 0, 0, 12, 10, 7, 0, 8, 15, 16, 14, 0, 0, 0, 0
200, 96, 96469, 0, 0, 0, 11, 10, 9, 0, 9, 15, 16, 13, 0, 0, 0, 0
195, 95, 97312, 0, 0, 0, 13, 10, 8, 0, 10, 14, 16, 13, 0, 0, 0, 0
198, 96, 98144, 0, 0, 0, 12, 10, 9, 0, 10, 15, 17, 14, 0, 0, 0, 0
195, 96, 98981, 0, 0, 0, 13, 10, 8, 0, 9, 14, 17, 13, 0, 0, 0, 0
198, 96, 99818, 0, 0, 0, 12, 10, 9, 0, 10, 14, 17, 14, 0, 0, 0, 0
197, 97, 128554, 0, 0, 0, 12, 10, 8, 0, 9, 14, 16, 14, 0, 0, 0, 0
198, 96, 129402, 0, 0, 0, 12, 9, 9, 0, 10, 14, 16, 14, 0, 0, 0, 0
196, 96, 130293, 0, 0, 0, 12, 9, 8, 0, 9, 14, 16, 13, 0, 0, 0, 0
195, 95, 131312, 0, 0, 0, 13, 10, 8, 0, 10, 14, 16, 13, 0, 0, 0, 0
196, 97, 132154, 0, 0, 0, 12, 9, 8, 0, 9, 15, 16, 14, 0, 0, 0, 0
198, 96, 133200, 0, 0, 0, 12, 9, 9, 0, 10, 14, 17, 14, 0, 0, 0, 0
197, 98, 134080, 0, 0, 0, 12, 10, 8, 0, 9, 14, 17, 14, 0, 0, 0, 0
198, 95, 134960, 0, 0, 0, 11, 10, 8, 0, 10, 15, 17, 13, 0, 0, 0, 0
198, 97, 135968, 0, 0, 0, 12, 10, 9, 0, 9, 15, 16, 14, 0, 0, 0, 0
197, 96, 136805, 0, 0, 0, 12, 10, 8, 0, 9, 14, 15, 13, 0, 0, 0, 0
198, 98, 137642, 0, 0, 0, 11, 10, 8, 0, 9, 14, 17, 14, 0, 0, 0, 0
